tagID,animateType,name,tagAddr,no
TAG_1_52_4,changeImageGroup,F01_1_1_52_4_T,http://192.168.245.3:9898/monitor/lighting/1_52_4,205
TAG_1_53_1,changeImageGroup,F01_1_1_53_1_T,http://192.168.245.3:9898/monitor/lighting/1_53_1,206
TAG_1_53_2,changeImageGroup,untitle_1_1_53_2_T,http://192.168.245.3:9898/monitor/lighting/1_53_2,207
TAG_1_53_3,changeImageGroup,untitle_1_1_53_3_T,http://192.168.245.3:9898/monitor/lighting/1_53_3,208
TAG_1_53_4,changeImageGroup,untitle_1_1_53_4_T,http://192.168.245.3:9898/monitor/lighting/1_53_4,209
TAG_1_54_1,changeImageGroup,untitle_1_1_54_1_T,http://192.168.245.3:9898/monitor/lighting/1_54_1,210
TAG_1_54_2,changeImageGroup,untitle_1_1_54_2_T,http://192.168.245.3:9898/monitor/lighting/1_54_2,211
TAG_1_54_3,changeImageGroup,untitle_1_1_54_3_T,http://192.168.245.3:9898/monitor/lighting/1_54_3,212
TAG_1_54_4,changeImageGroup,untitle_1_1_54_4_T,http://192.168.245.3:9898/monitor/lighting/1_54_4,213
TAG_1_55_1,changeImageGroup,F01_1_1_55_1_T,http://192.168.245.3:9898/monitor/lighting/1_55_1,214
TAG_1_55_2,changeImageGroup,F01_1_1_55_2_T,http://192.168.245.3:9898/monitor/lighting/1_55_2,215
TAG_1_55_3,changeImageGroup,F01_1_1_55_3_T,http://192.168.245.3:9898/monitor/lighting/1_55_3,216
TAG_1_55_4,changeImageGroup,F01_1_1_55_4_T,http://192.168.245.3:9898/monitor/lighting/1_55_4,217
TAG_1_56_1,changeImageGroup,F01_1_1_56_1_T,http://192.168.245.3:9898/monitor/lighting/1_56_1,218
TAG_1_56_2,changeImageGroup,F01_1_1_56_2_T,http://192.168.245.3:9898/monitor/lighting/1_56_2,219
TAG_1_56_3,changeImageGroup,untitle_1_1_56_3_T,http://192.168.245.3:9898/monitor/lighting/1_56_3,220
TAG_1_56_4,changeImageGroup,untitle_1_1_56_4_T,http://192.168.245.3:9898/monitor/lighting/1_56_4,221
TAG_1_57_1,changeImageGroup,F01_1_1_57_1_T,http://192.168.245.3:9898/monitor/lighting/1_57_1,222
TAG_1_57_2,changeImageGroup,F01_1_1_57_2_T,http://192.168.245.3:9898/monitor/lighting/1_57_2,223
TAG_1_57_3,changeImageGroup,F01_1_1_57_3_T,http://192.168.245.3:9898/monitor/lighting/1_57_3,224
TAG_1_57_4,changeImageGroup,F01_1_1_57_4_T,http://192.168.245.3:9898/monitor/lighting/1_57_4,225
TAG_1_58_1,changeImageGroup,F01_1_1_58_1_T,http://192.168.245.3:9898/monitor/lighting/1_58_1,226
TAG_1_58_2,changeImageGroup,F01_1_1_58_2_T,http://192.168.245.3:9898/monitor/lighting/1_58_2,227
TAG_1_58_3,changeImageGroup,F01_1_1_58_3_T,http://192.168.245.3:9898/monitor/lighting/1_58_3,228
TAG_1_58_4,changeImageGroup,F01_1_1_58_4_T,http://192.168.245.3:9898/monitor/lighting/1_58_4,229
TAG_1_59_1,changeImageGroup,F01_1_1_59_1_T,http://192.168.245.3:9898/monitor/lighting/1_59_1,230
TAG_1_59_2,changeImageGroup,F01_1_1_59_2_T,http://192.168.245.3:9898/monitor/lighting/1_59_2,231
