animateType,name,no,tagAddr,tagID,interval
changeImage,공조기10.필터경보,1020,http://192.168.245.3:9898/monitor/hvac/2010_3_6,TAG_2010_3_6,0
changeImage,공조기10.전기히터상태,1021,http://192.168.245.3:9898/monitor/hvac/2010_3_7,TAG_2010_3_7,NULL
changeImage,공조기10.화재존01.경보,1022,http://192.168.245.3:9898/monitor/hvac/2010_3_8,TAG_2010_3_8,0
changeImage,흄후드배기02.상태,1023,http://192.168.245.3:9898/monitor/hvac/2010_3_9,TAG_2010_3_9,NULL
changeImage,흄후드배기10.상태,1024,http://192.168.245.3:9898/monitor/hvac/2010_3_10,TAG_2010_3_10,NULL
changeImage,흄후드배기11.상태,1025,http://192.168.245.3:9898/monitor/hvac/2010_3_11,TAG_2010_3_11,NULL
changeImage,흄후드배기12.상태,1026,http://192.168.245.3:9898/monitor/hvac/2010_3_12,TAG_2010_3_12,NULL
changeImage,흄후드배기13.상태,1027,http://192.168.245.3:9898/monitor/hvac/2010_3_13,TAG_2010_3_13,NULL
changeImage,흄후드배기14.상태,1028,http://192.168.245.3:9898/monitor/hvac/2010_3_14,TAG_2010_3_14,NULL
changeImage,흄후드배기15.상태,1029,http://192.168.245.3:9898/monitor/hvac/2010_3_15,TAG_2010_3_15,NULL
changeImage,흄후드배기16.상태,1030,http://192.168.245.3:9898/monitor/hvac/2010_3_16,TAG_2010_3_16,NULL
changeImage,흄후드배기17.상태,1031,http://192.168.245.3:9898/monitor/hvac/2010_3_17,TAG_2010_3_17,NULL
changeImage,흄후드배기18.상태,1032,http://192.168.245.3:9898/monitor/hvac/2010_3_18,TAG_2010_3_18,NULL
changeImage,흄후드배기19.상태,1033,http://192.168.245.3:9898/monitor/hvac/2010_3_19,TAG_2010_3_19,NULL
changeImage,흄후드배기20.상태,1034,http://192.168.245.3:9898/monitor/hvac/2010_3_20,TAG_2010_3_20,NULL
changeImage,흄후드배기21.상태,1035,http://192.168.245.3:9898/monitor/hvac/2010_3_21,TAG_2010_3_21,NULL
changeImage,흄후드배기06.상태,1036,http://192.168.245.3:9898/monitor/hvac/2010_3_22,TAG_2010_3_22,NULL
changeImage,흄후드배기05.상태,1037,http://192.168.245.3:9898/monitor/hvac/2010_3_23,TAG_2010_3_23,NULL
changeImage,흄후드배기04.상태,1038,http://192.168.245.3:9898/monitor/hvac/2010_3_24,TAG_2010_3_24,NULL
changeImage,흄후드배기03.상태,1039,http://192.168.245.3:9898/monitor/hvac/2010_3_25,TAG_2010_3_25,NULL
changeImage,흄후드배기08.상태,1040,http://192.168.245.3:9898/monitor/hvac/2010_3_26,TAG_2010_3_26,NULL
changeImage,흄후드배기09.상태,1041,http://192.168.245.3:9898/monitor/hvac/2010_3_27,TAG_2010_3_27,NULL
changeImage,공조기10.급기상태,1042,http://192.168.245.3:9898/monitor/hvac/2010_3_29,TAG_2010_3_29,NULL
changeImage,냉각탑3.상태,1043,http://192.168.245.3:9898/monitor/hvac/2010_3_30,TAG_2010_3_30,NULL
changeImage,냉각탑1-1.상태,1044,http://192.168.245.3:9898/monitor/hvac/2010_3_31,TAG_2010_3_31,NULL
changeImage,냉각탑1-2.상태,1045,http://192.168.245.3:9898/monitor/hvac/2010_3_32,TAG_2010_3_32,NULL
changeImage,냉각탑2-2.상태,1046,http://192.168.245.3:9898/monitor/hvac/2010_3_33,TAG_2010_3_33,NULL
changeImage,냉각탑2-1.상태,1047,http://192.168.245.3:9898/monitor/hvac/2010_3_34,TAG_2010_3_34,NULL
changeImage,FCU.6F-1.상태,1048,http://192.168.245.3:9898/monitor/hvac/2010_3_35,TAG_2010_3_35,NULL
changeImage,FCU.6F-2.상태,1049,http://192.168.245.3:9898/monitor/hvac/2010_3_36,TAG_2010_3_36,NULL
changeImage,FCU.6F-3.상태,1050,http://192.168.245.3:9898/monitor/hvac/2010_3_37,TAG_2010_3_37,NULL
changeImage,FCU.6F-4.상태,1051,http://192.168.245.3:9898/monitor/hvac/2010_3_38,TAG_2010_3_38,NULL
changeImage,FCU.6F-5.상태,1052,http://192.168.245.3:9898/monitor/hvac/2010_3_39,TAG_2010_3_39,NULL
changeImage,FCU.6F-6.상태,1053,http://192.168.245.3:9898/monitor/hvac/2010_3_40,TAG_2010_3_40,NULL
changeImage,흄후드배기22.상태,1054,http://192.168.245.3:9898/monitor/hvac/2010_3_41,TAG_2010_3_41,NULL
changeImage,흄후드배기23.상태,1055,http://192.168.245.3:9898/monitor/hvac/2010_3_42,TAG_2010_3_42,NULL
changeImage,흄후드배기24.상태,1056,http://192.168.245.3:9898/monitor/hvac/2010_3_43,TAG_2010_3_43,NULL
changeTextFloor_1,D09.인터컴,1057,http://192.168.245.3:9898/monitor/hvac/2010_4_1,TAG_2010_4_1,NULL
changeImage,공조기10.급기기동,1058,http://192.168.245.3:9898/monitor/hvac/2010_4_2,TAG_2010_4_2,NULL
changeImage,공조기10.환기기동,1059,http://192.168.245.3:9898/monitor/hvac/2010_4_3,TAG_2010_4_3,NULL
changeImage,공조기10.전기히터기동,1060,http://192.168.245.3:9898/monitor/hvac/2010_4_4,TAG_2010_4_4,NULL
changeImage,냉각탑3.기동,1061,http://192.168.245.3:9898/monitor/hvac/2010_4_5,TAG_2010_4_5,NULL
changeImage,냉각탑1-1.기동,1062,http://192.168.245.3:9898/monitor/hvac/2010_4_6,TAG_2010_4_6,NULL
changeImage,냉각탑1-2.기동,1063,http://192.168.245.3:9898/monitor/hvac/2010_4_7,TAG_2010_4_7,NULL
changeImage,냉각탑2-1.기동,1064,http://192.168.245.3:9898/monitor/hvac/2010_4_8,TAG_2010_4_8,NULL
changeImage,냉각탑2-2.기동,1065,http://192.168.245.3:9898/monitor/hvac/2010_4_9,TAG_2010_4_9,NULL
changeImage,FCU.6F-1.기동,1066,http://192.168.245.3:9898/monitor/hvac/2010_4_10,TAG_2010_4_10,NULL
changeImage,FCU.6F-2.기동,1067,http://192.168.245.3:9898/monitor/hvac/2010_4_11,TAG_2010_4_11,NULL
